Addresses,Prices,Beds,Baths,Square Footage,Listing Duration
"105 N Kendall Ave #1D Kalamazoo, MI 49006","$1,350/mo",2bd,1ba,790 sqft,1
"911 W South St #1 Kalamazoo, MI 49007",$950/mo,2bd,1ba,850 sqft,1
"105 N Kendall Ave #3T Kalamazoo, MI 49006","$1,500/mo",2bd,1ba,880 sqft,1
"511 Sprague Ave #105 Kalamazoo, MI 49006",$990/mo,2bd,1ba,820 sqft,1
"1908 Academy St Kalamazoo, MI 49006","$2,400/mo",6bd,3ba,"2,300 sqft",1
"711 Simpson St Kalamazoo, MI 49007","$1,200/mo",4bd,1ba,"1,127 sqft",1
"4153 W Michigan Ave #4153 Kalamazoo, MI 49006",$400/mo,1bd,No Data,No Data,1
"110 E Michigan Ave #202 Kalamazoo, MI 49007","$2,500/mo",1bd,1ba,"1,472 sqft",1
"426 Bellevue Pl Kalamazoo, MI 49007","$1,800/mo",4bd,2ba,"1,566 sqft",1
"316 S Kalamazoo Mall #213 Kalamazoo, MI 49007","$2,700/mo",2bd,2ba,"1,575 sqft",1
"336 S Kalamazoo Mall #507 Kalamazoo, MI 49007","$2,500/mo",2bd,2ba,"1,475 sqft",1
"710 Axtell - 6 Bedroom House with Studio Apt Attached Kalamazoo, MI 49008","$1,700/mo",6bd,2ba,No Data,1
"815 Kalamazoo Ave- 5 Unit Apartment Building Downtown Kzoo Featuring Studios, 1 BR and 2 BR Apts Kalamazoo, MI 49007",$800/mo,1bd,1ba,No Data,1
"516 Douglas Ave #2 Kalamazoo, MI 49007",$850/mo,2bd,1ba,800 sqft,1
"1243 Jack Pine Way Kalamazoo, MI 49006","$1,950/mo",6bd,2ba,"1,920 sqft",1
"Address Not Disclosed Kalamazoo, MI 49007","$3,800/mo",1bd,1ba,750 sqft,1
"743 Academy- Duplex Near WMU/K College with a 4 BR unit and a 5 BR unit. Kalamazoo, MI 49007","$1,250/mo",3bd,1ba,No Data,1
"631 Davis St #2 Kalamazoo, MI 49007","$1,600/mo",5bd,2ba,"1,504 sqft",1
"712-714 Lovell - Great 3 Bedroom Duplex Near Downtown & WMU/K College Kalamazoo, MI 49007","$1,300/mo",3bd,1ba,No Data,1
"424 W Vine St #2 Kalamazoo, MI 49007","$1,200/mo",3bd,1ba,920 sqft,1
"701 Davis St Kalamazoo, MI 49007","$2,000/mo",7bd,2ba,"1,638 sqft",1
"703 W Walnut Street- 1 bedroom Apts in the Vine Neighborhood Kalamazoo, MI 49007",$690/mo,1bd,1ba,No Data,1
"1433 Knollwood Ave Kalamazoo, MI 49006","$2,250/mo",6bd,2ba,"1,960 sqft (on 0.57 acres)",1
"1 bed, 650 sqft, $3,000 Kalamazoo, MI 49001","$3,000/mo",1bd,1ba,No Data,1
"827 W Cedar St Kalamazoo, MI 49007","$1,650/mo",5bd,2ba,"1,688 sqft",1
"838 Davis St- Duplex Near WMU Featuring 2 Units. A 4 BR Apt and 5 BR Apt. Kalamazoo, MI 49008","$1,100/mo",4bd,1ba,No Data,1
"6063 Briarcliff Path #C Kalamazoo, MI 49009","$1,095/mo",2bd,1ba,No Data,1
"1513 Washington Ave #2 Kalamazoo, MI 49001",$600/mo,1bd,1ba,900 sqft,1
"520 Pearl 5 Bedroom 2.5 Bath House Near WMU K College Kalamazoo, MI 49007","$1,500/mo",6bd,2.5ba,No Data,1
"817 Ferris Ct Kalamazoo, MI 49007",$825/mo,2bd,1ba,825 sqft,1
"6041 Briarcliff Path #C Kalamazoo, MI 49009","$1,095/mo",2bd,1ba,No Data,1
"802 W Kalamazoo-3 Unit Building in the Stuart Neighborhood-1&2 BR Apts Kalamazoo, MI 49007",$775/mo,1bd,1ba,No Data,1
"208 Woodward Ave #1 Kalamazoo, MI 49007","$2,000/mo",4bd,2ba,No Data,1
"1435 Knollwood Ave Kalamazoo, MI 49006","$2,250/mo",6bd,2ba,"1,960 sqft",1
"3325 W Michigan Ave #F Kalamazoo, MI 49006","$2,100/mo",6bd,3.5ba,"2,200 sqft",1
"819 Trimble Ave Kalamazoo, MI 49048","$1,225/mo",3bd,1ba,"1,300 sqft",1
"447 Walnut- 15 Units Downtown Kalamazoo Kalamazoo, MI 49007","$1,350/mo",5bd,1ba,No Data,1
"525 N Arlington St #C5 Kalamazoo, MI 49006",$895/mo,2bd,1ba,800 sqft,1
"2115 Aberdeen Dr Kalamazoo, MI 49008","$2,400/mo",2bd,3.5ba,"3,116 sqft (on 0.49 acres)",1
"1407 Sutherland Ave Kalamazoo, MI 49006","$2,125/mo",5bd,2ba,"1,008 sqft",1
"925 W Lovell St Kalamazoo, MI 49007","$2,500/mo",8bd,4ba,"2,160 sqft",1
"820 W Vine St Kalamazoo, MI 49008","$1,800/mo",4bd,2ba,"1,568 sqft",1
"931 W Lovell St Kalamazoo, MI 49007","$2,525/mo",9bd,3ba,"2,564 sqft",1
"110 E Michigan Ave #304 Kalamazoo, MI 49007","$1,900/mo",1bd,1ba,862 sqft,1
"336 S Kalamazoo Mall #206 Kalamazoo, MI 49007","$2,500/mo",1bd,1ba,770 sqft,1
"10640 W M Ave Kalamazoo, MI 49009","$1,000/mo",1bd,1ba,"1,110 sqft (on 2 acres)",1
"721 Westbury Ln Kalamazoo, MI 49006","$1,950/mo",3bd,1.5ba,"2,048 sqft",1
"1329 Fraternity Village Dr Kalamazoo, MI 49006","$3,300/mo",6bd,3ba,"2,218 sqft",1
"1235 Red Pine Way Kalamazoo, MI 49006","$1,580/mo",4bd,2ba,"1,568 sqft (on 0.25 acres)",1
"935 Bellevue Pl Kalamazoo, MI 49007","$1,400/mo",4bd,1ba,"1,218 sqft",1
"942 Bellevue Pl Kalamazoo, MI 49007","$2,000/mo",5bd,2ba,"1,911 sqft",1
"946 Bellevue Pl Kalamazoo, MI 49007","$3,800/mo",8bd,3ba,"2,294 sqft",1
"708 McCourtie St Kalamazoo, MI 49008","$2,000/mo",4bd,2ba,"1,543 sqft",1
"204 Elm Pl Kalamazoo, MI 49007","$1,300/mo",4bd,2.5ba,"1,700 sqft",1
"215 Rose Pl Kalamazoo, MI 49001","$3,750/mo",2bd,1.5ba,"1,400 sqft",1
"7297 Liggett St Kalamazoo, MI 49048","$1,200/mo",3bd,2ba,No Data,1
"1005 Farrell Ave Kalamazoo, MI 49006","$1,800/mo",3bd,1.5ba,"2,600 sqft",1
"908 S Park St #2 Kalamazoo, MI 49001",$800/mo,2bd,1ba,No Data,1
"634 W Kalamazoo Ave Kalamazoo, MI 49007","$1,200/mo",3bd,2ba,"1,600 sqft",1
"534 Gayle Ave Kalamazoo, MI 49048","$1,200/mo",2bd,1ba,No Data,1
"709 W Willard St #C Kalamazoo, MI 49007",$715/mo,1bd,1ba,No Data,1
"4480 Burr Ridge Rd Portage, MI 49024","$2,595/mo",4bd,2.5ba,"1,830 sqft",1
"7325 Salerno Cir Portage, MI 49024","$2,300/mo",3bd,2ba,"2,249 sqft",1
"5643 Claremount St Portage, MI 49024","$2,595/mo",4bd,2.5ba,"1,810 sqft",1
"5642 Claremount St Portage, MI 49024","$2,595/mo",4bd,2.5ba,"1,830 sqft",1
"5445 Lovers Ln Portage, MI 49002","$1,250/mo",2bd,1ba,"1,552 sqft (on 0.38 acres)",1
