Addresses,Prices,Beds,Baths,Square Footage
"3902 W Michigan 6BR 3.5 Bath near WMU **Available August 2022 Kalamazoo, MI 49006","$2,000 - $2,200/mo",6bd,3.5ba,No Data
"4117 W Michigan Ave Kalamazoo, MI 49006","$1,600/mo",4bd,3ba,"1,560 sqft"
"820 W Vine St Kalamazoo, MI 49008","$1,800/mo",4bd,2ba,"1,568 sqft"
"931 W Lovell St Kalamazoo, MI 49007","$2,525/mo",9bd,3ba,"2,564 sqft"
"110 E Michigan Ave #304 Kalamazoo, MI 49007","$1,900/mo",1bd,1ba,862 sqft
"336 S Kalamazoo Mall #206 Kalamazoo, MI 49007","$2,500/mo",1bd,1ba,770 sqft
"10640 W M Ave Kalamazoo, MI 49009","$1,000/mo",1bd,1ba,"1,110 sqft (on 2 acres)"
"721 Westbury Ln Kalamazoo, MI 49006","$1,950/mo",3bd,1.5ba,"2,048 sqft"
"1329 Fraternity Village Dr Kalamazoo, MI 49006","$3,300/mo",6bd,3ba,"2,218 sqft"
"1235 Red Pine Way Kalamazoo, MI 49006","$1,580/mo",4bd,2ba,"1,568 sqft (on 0.25 acres)"
"935 Bellevue Pl Kalamazoo, MI 49007","$1,400/mo",4bd,1ba,"1,218 sqft"
"942 Bellevue Pl Kalamazoo, MI 49007","$2,000/mo",5bd,2ba,"1,911 sqft"
"946 Bellevue Pl Kalamazoo, MI 49007","$3,800/mo",8bd,3ba,"2,294 sqft"
"708 McCourtie St Kalamazoo, MI 49008","$2,000/mo",4bd,2ba,"1,543 sqft"
"204 Elm Pl Kalamazoo, MI 49007","$1,300/mo",4bd,2.5ba,"1,700 sqft"
"215 Rose Pl Kalamazoo, MI 49001","$3,750/mo",2bd,1.5ba,"1,400 sqft"
"7297 Liggett St Kalamazoo, MI 49048","$1,200/mo",3bd,2ba,No Data
"1005 Farrell Ave Kalamazoo, MI 49006","$1,800/mo",3bd,1.5ba,"2,600 sqft"
"2535 Mount Olivet Rd Kalamazoo, MI 49004",$697/mo,1bd,1ba,"24,500 sqft"
"908 S Park St #2 Kalamazoo, MI 49001",$800/mo,2bd,1ba,No Data
"634 W Kalamazoo Ave Kalamazoo, MI 49007","$1,200/mo",3bd,2ba,"1,600 sqft"
"534 Gayle Ave Kalamazoo, MI 49048","$1,200/mo",2bd,1ba,No Data
"709 W Willard St #C Kalamazoo, MI 49007",$715/mo,1bd,1ba,No Data
"Kalamazoo Village Apartments Kalamazoo, MI 49001","$1,055 - $1,214/mo",2-3bd,2ba,No Data
"Willow Creek Group Apartments Kalamazoo, MI 49008","$1,084 - $1,291/mo",1-2bd,1ba,No Data
"Hunters Ridge Apartments Kalamazoo, MI 49006",$440/mo,2bd,2ba,No Data
"Dover Hills Apartments Kalamazoo, MI 49009","$980 - $1,335/mo",1bd,1ba,No Data
"1314 Oak St Kalamazoo, MI 49008","$1,600/mo",3bd,2ba,No Data
"4480 Burr Ridge Rd Portage, MI 49024","$2,595/mo",4bd,2.5ba,"1,830 sqft"
"7325 Salerno Cir Portage, MI 49024","$2,300/mo",3bd,2ba,"2,249 sqft"
"5643 Claremount St Portage, MI 49024","$2,595/mo",4bd,2.5ba,"1,810 sqft"
"5642 Claremount St Portage, MI 49024","$2,595/mo",4bd,2.5ba,"1,830 sqft"
"5445 Lovers Ln Portage, MI 49002","$1,250/mo",2bd,1ba,"1,552 sqft (on 0.38 acres)"
